coordinates,url,magnitude,places,time,excel time,
"[-115.4783, 37.238, 7]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607868,1.1,"31km WSW of Alamo, Nevada",1.50697E+12,10/2/2017 17:46:43.870 ,
"[-116.6886667, 33.6281667, 7.81]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38017024,0.28,"8km N of Anza, CA",1.50697E+12,10/2/2017 17:38:57.200 ,
"[-118.8301697, 37.4553337, 2.33]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903196,1.54,"24km SSE of Mammoth Lakes, California",1.50696E+12,10/2/2017 17:02:36.000 ,
"[-118.8306656, 37.4546661, 2.12]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903176,1.44,"24km SSE of Mammoth Lakes, California",1.50696E+12,10/2/2017 16:39:54.140 ,
"[-116.4148333, 33.4245, 13.09]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016944,0.87,"19km N of Borrego Springs, CA",1.50696E+12,10/2/2017 16:32:59.110 ,
"[-118.8270035, 37.4550018, 2.15]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903166,1.93,"25km SSE of Mammoth Lakes, California",1.50696E+12,10/2/2017 16:30:34.070 ,
"[-118.8266678, 37.4544983, 1.72]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903156,1.79,"25km SSE of Mammoth Lakes, California",1.50696E+12,10/2/2017 16:23:16.610 ,
"[-118.8280029, 37.4543343, 3.03]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903146,3.05,"25km SSE of Mammoth Lakes, California",1.50696E+12,10/2/2017 16:18:06.750 ,
"[-118.9455032, 37.5853348, -0.27]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903141,1.07,"7km SSE of Mammoth Lakes, California",1.50696E+12,10/2/2017 16:09:15.530 ,
"[-117.0343333, 33.8736667, 0.23]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016888,1.27,"8km SW of Beaumont, CA",1.50696E+12,10/2/2017 16:03:44.920 ,
"[-142.9837, 67.1697, 0]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16988071,1.4,"120km NE of Fort Yukon, Alaska",1.50696E+12,10/2/2017 15:46:48.997 ,
"[-113.8425, 36.5559, 8.1]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607854,1.7,"34km SE of Mesquite, Nevada",1.50696E+12,10/2/2017 15:42:40.926 ,
"[-122.7543335, 38.7944984, 0.63]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903126,0.86,"1km N of The Geysers, California",1.50696E+12,10/2/2017 15:31:06.200 ,
