lat,long,url,magnitude,depth,places,time
40.8424988,-121.1011658,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905496,1.94,6.01,"47km E of Burney, California",1507341324260
1.1151,132.668,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b2cc,5,7.01,"269km NW of Manokwari, Indonesia",1507340745260
33.4663333,-116.4626667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020800,1.46,5.78,"22km ESE of Anza, CA",1507340726000
60.2328,-141.2596,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991706,1.7,0,"67km ENE of Cape Yakataga, Alaska",1507339655320
62.4396,-149.7575,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991704,1.7,50.8,"22km NE of Talkeetna, Alaska",1507338343941
33.499,-116.79,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020784,0.73,4.31,"9km NE of Aguanga, CA",1507336652630
60.5797,-152.3178,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991697,2.1,88.2,"25km ENE of Redoubt Volcano, Alaska",1507336466527
33.4966667,-116.7901667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020776,0.42,5.18,"9km NE of Aguanga, CA",1507336386410
37.635,-118.9408333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905481,0.55,5.49,"3km ESE of Mammoth Lakes, California",1507336319220
34.3335,-116.4601667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020768,1.56,2.89,"24km N of Yucca Valley, CA",1507336119080
34.3331667,-116.4681667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020760,1.22,2.87,"25km N of Yucca Valley, CA",1507335982510
33.4903333,-116.793,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020752,1.81,4.58,"8km NE of Aguanga, CA",1507335765850
35.3396667,-118.5663333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020744,1.76,7.86,"25km NNW of Tehachapi, CA",1507335646140
-33.0297,-178.3171,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b2c0,5.3,10,"185km SSE of L'Esperance Rock, New Zealand",1507335391250
33.5026667,-116.7955,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020736,0.54,5.06,"9km NE of Aguanga, CA",1507334271380
37.5485,-118.8871667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905466,0.6,1.34,"13km SE of Mammoth Lakes, California",1507333312240
