city,lat,lng
"Linton Hall, Bristow, VA, USA",38.7598381,-77.5749905
"Little Elm, TX, USA",33.1626193,-96.9375051
"Linton Hall, Bristow, VA, USA",38.7598381,-77.5749905
"Little Elm, TX, USA",33.1626193,-96.9375051
"Leander, TX 78641, USA",30.5788055,-97.8530686
"Lehi, UT, USA",40.3916172,-111.8507662
"Sammamish, WA, USA",47.61626829999999,-122.0355736
"Brentwood, TN, USA",36.0331164,-86.78277720000001
"Flower Mound, TX, USA",33.0145673,-97.0969552
"Cedar Park, TX, USA",30.505198,-97.8202888
"Bentonville, AR, USA",36.3728538,-94.2088172
